req_id,output_len,ttft_ms,tpot_ms,decode_time_ms,e2e_latency_ms
0,1020,338.26,21.13,21556.99,21895.25
1,946,505.64,20.32,19224.39,19730.02
2,819,504.81,18.40,15068.16,15572.97
3,957,789.55,20.16,19289.15,20078.71
4,933,504.73,20.04,18697.93,19202.66
5,862,504.20,19.25,16596.17,17100.36
6,1005,503.84,20.71,20809.71,21313.55
7,946,503.77,20.32,19224.72,19728.49
8,842,503.46,18.88,15895.40,16398.86
9,1006,502.86,20.74,20867.57,21370.43
10,949,502.73,20.43,19388.48,19891.22
11,940,502.13,20.19,18979.30,19481.43
12,917,501.99,19.93,18276.80,18778.78
13,881,502.04,19.53,17208.33,17710.38
14,982,500.79,20.58,20205.32,20706.11
15,942,500.94,20.23,19055.77,19556.71
16,1014,500.50,20.89,21177.95,21678.44
17,901,500.50,19.75,17793.04,18293.54
18,993,500.51,20.59,20445.38,20945.89
19,967,784.59,20.17,19508.89,20293.48
20,869,784.75,19.06,16559.72,17344.47
21,974,783.93,20.21,19684.72,20468.66
22,833,783.87,18.44,15356.72,16140.59
23,860,784.05,18.88,16239.51,17023.57
24,877,783.25,19.16,16803.44,17586.69
25,1012,783.20,20.61,20857.60,21640.79
26,855,783.40,18.77,16046.50,16829.90
27,829,782.94,18.25,15125.61,15908.55
28,905,1118.79,19.11,17293.73,18412.52
29,862,782.47,18.92,16311.93,17094.40
30,923,1282.22,19.12,17645.58,18927.80
31,830,1118.33,17.85,14813.41,15931.74
32,821,781.84,18.05,14817.85,15599.70
33,870,781.43,19.06,16581.64,17363.07
34,899,1117.52,19.01,17090.28,18207.80
35,851,1117.63,18.26,15537.63,16655.25
36,1001,1280.92,19.83,19852.87,21133.79
37,947,1116.85,19.67,18626.93,19743.78
38,857,780.79,18.76,16081.59,16862.38
39,838,1116.56,18.08,15154.64,16271.21
40,993,780.07,20.30,20160.65,20940.72
41,861,780.10,18.88,16254.34,17034.44
42,934,779.86,19.78,18471.64,19251.50
43,1003,1115.82,20.09,20153.68,21269.51
44,1007,1115.21,20.24,20383.48,21498.69
45,896,1115.37,18.97,16996.36,18111.72
46,849,1115.52,18.26,15502.17,16617.70
47,843,1115.29,18.15,15300.31,16415.59
48,944,1114.87,19.62,18517.24,19632.11
49,821,1114.62,17.64,14482.45,15597.08
50,822,1114.67,17.69,14544.05,15658.72
51,913,1114.38,19.15,17479.72,18594.10
52,926,1114.36,19.33,17901.77,19016.13
53,832,1277.26,17.69,14720.50,15997.76
54,931,1113.94,19.38,18042.41,19156.35
55,859,1277.12,18.30,15719.18,16996.30
56,891,1276.66,18.74,16695.89,17972.55
57,838,1276.15,17.89,14992.02,16268.17
58,914,1276.15,18.97,17341.60,18617.74
59,891,1276.04,18.74,16696.13,17972.17
60,973,1275.67,19.69,19159.85,20435.52
61,1013,1275.67,20.12,20376.90,21652.57
62,999,1275.66,19.84,19818.08,21093.74
63,886,1275.34,18.69,16560.20,17835.54
64,880,153.08,20.51,18049.86,18202.94
65,833,176.12,20.61,17168.28,17344.39
66,915,174.89,20.33,18605.78,18780.67
67,823,116.59,20.64,16990.47,17107.05
68,1014,144.80,20.12,20397.52,20542.32
69,958,177.54,20.05,19206.03,19383.57
70,905,111.91,20.19,18268.49,18380.39
71,1024,92.16,19.95,20429.97,20522.13
72,940,95.92,19.99,18789.62,18885.53
73,928,94.77,20.02,18576.83,18671.60
74,894,146.38,20.00,17877.98,18024.36
75,1003,123.47,19.88,19937.02,20060.49
76,835,144.32,20.05,16740.73,16885.05
77,971,112.33,19.89,19310.11,19422.44
78,976,143.75,19.77,19293.99,19437.74
79,968,112.15,19.79,19154.10,19266.26
80,929,147.56,19.57,18184.41,18331.97
81,844,184.27,19.71,16632.48,16816.75
82,1007,169.77,19.46,19593.31,19763.08
83,940,118.65,19.69,18508.01,18626.66
84,937,117.53,19.70,18457.48,18575.01
85,936,145.61,19.59,18335.09,18480.70
86,1008,127.60,19.32,19478.37,19605.98
87,902,95.61,19.40,17495.46,17591.06
88,980,94.31,19.31,18923.13,19017.45
89,923,93.98,19.45,17954.77,18048.74
90,979,96.73,19.19,18787.33,18884.05
91,940,95.44,19.35,18192.48,18287.92
92,889,94.69,19.20,17072.74,17167.43
93,850,84.02,19.22,16336.30,16420.32
94,832,82.71,19.20,15974.75,16057.46
95,890,94.21,19.27,17147.11,17241.31
96,1003,146.47,18.70,18760.40,18906.87
97,971,126.09,18.87,18326.65,18452.74
98,898,93.92,19.07,17125.79,17219.71
99,860,94.45,18.87,16226.01,16320.46
100,837,82.81,18.84,15772.36,15855.17
101,859,143.54,18.85,16191.22,16334.76
102,1001,165.79,18.34,18355.32,18521.11
103,830,111.48,18.67,15493.03,15604.51
104,985,78.29,18.33,18056.39,18134.69
105,930,84.62,18.54,17239.82,17324.44
106,912,88.52,18.54,16907.65,16996.17
107,948,135.95,18.29,17341.30,17477.25
108,937,139.17,18.34,17185.57,17324.74
109,863,116.77,18.55,16012.23,16128.99
110,944,92.82,18.24,17220.15,17312.96
111,843,92.92,18.47,15574.03,15666.95
112,886,92.70,18.30,16218.06,16310.77
113,822,144.45,18.33,15067.37,15211.82
114,1023,123.70,17.53,17932.25,18055.95
115,854,77.88,18.21,15549.18,15627.06
116,1008,99.72,17.40,17541.40,17641.12
117,1016,97.56,17.36,17638.47,17736.03
118,862,143.68,17.96,15479.97,15623.64
119,851,113.23,17.99,15307.76,15420.99
120,830,143.91,17.93,14883.72,15027.63
121,923,165.07,17.51,16165.89,16330.96
122,957,112.91,17.34,16595.30,16708.22
123,1001,80.94,17.05,17070.89,17151.83
124,984,146.40,17.01,16737.30,16883.71
125,944,133.72,17.19,16229.84,16363.56
126,975,118.00,17.04,16618.04,16736.04
127,930,93.18,17.17,15969.32,16062.50
